X,Y,Z
0.414980,0.000000,0.200000
0.414954,0.000000,0.200000
0.414780,0.000000,0.200000
0.414346,0.000000,0.200000
0.413574,0.000000,0.200000
0.412416,0.000000,0.200000
0.410852,0.000000,0.200000
0.408887,0.000000,0.200000
0.406546,0.000000,0.200000
0.403873,0.000000,0.200000
0.400927,0.000000,0.200000
0.397778,0.000000,0.200000
0.394504,0.000000,0.200000
0.391187,0.000000,0.200000
0.387912,0.000000,0.200000
0.384763,0.000000,0.200000
0.381817,0.000000,0.200000
0.379145,0.000000,0.200000
0.376804,0.000000,0.200000
0.374838,0.000000,0.200000
0.373274,0.000000,0.200000
0.372116,0.000000,0.200000
0.371344,0.000000,0.200000
0.370910,0.000000,0.200000
0.370737,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370710,0.000000,0.200000
0.370711,0.000000,0.200000
0.370606,0.002218,0.200000
0.370294,0.004414,0.200000
0.369779,0.006567,0.200000
0.369068,0.008657,0.200000
0.368172,0.010664,0.200000
0.367102,0.012574,0.200000
0.365873,0.014370,0.200000
0.364500,0.016041,0.200000
0.362999,0.017576,0.200000
0.361388,0.018970,0.200000
0.359682,0.020217,0.200000
0.357899,0.021314,0.200000
0.356054,0.022262,0.200000
0.354162,0.023061,0.200000
0.352237,0.023715,0.200000
0.350292,0.024228,0.200000
0.348338,0.024606,0.200000
0.346385,0.024854,0.200000
0.344442,0.024980,0.200000
0.342517,0.024991,0.200000
0.340615,0.024893,0.200000
0.338742,0.024695,0.200000
0.336902,0.024404,0.200000
0.335099,0.024027,0.200000
0.333333,0.023570,0.200000
0.331608,0.023041,0.200000
0.329924,0.022447,0.200000
0.328282,0.021792,0.200000
0.326681,0.021082,0.200000
0.325121,0.020323,0.200000
0.323601,0.019520,0.200000
0.322120,0.018676,0.200000
0.320676,0.017797,0.200000
0.319269,0.016885,0.200000
0.317895,0.015945,0.200000
0.316554,0.014979,0.200000
0.315243,0.013990,0.200000
0.313961,0.012981,0.200000
0.312705,0.011954,0.200000
0.311473,0.010912,0.200000
0.310263,0.009856,0.200000
0.309073,0.008788,0.200000
0.307901,0.007710,0.200000
0.306743,0.006624,0.200000
0.305599,0.005530,0.200000
0.304466,0.004431,0.200000
0.303342,0.003327,0.200000
0.302224,0.002220,0.200000
0.301111,0.001111,0.200000
0.300000,-0.000000,0.200000
0.298889,-0.001111,0.200000
0.297776,-0.002220,0.200000
0.296658,-0.003327,0.200000
0.295534,-0.004431,0.200000
0.294401,-0.005530,0.200000
0.293257,-0.006624,0.200000
0.292099,-0.007710,0.200000
0.290927,-0.008788,0.200000
0.289737,-0.009856,0.200000
0.288527,-0.010912,0.200000
0.287295,-0.011954,0.200000
0.286039,-0.012981,0.200000
0.284757,-0.013990,0.200000
0.283446,-0.014979,0.200000
0.282105,-0.015945,0.200000
0.280731,-0.016885,0.200000
0.279324,-0.017797,0.200000
0.277880,-0.018676,0.200000
0.276399,-0.019520,0.200000
0.274879,-0.020323,0.200000
0.273319,-0.021082,0.200000
0.271718,-0.021792,0.200000
0.270076,-0.022447,0.200000
0.268392,-0.023041,0.200000
0.266667,-0.023570,0.200000
0.264901,-0.024027,0.200000
0.263098,-0.024404,0.200000
0.261258,-0.024695,0.200000
0.259385,-0.024893,0.200000
0.257483,-0.024991,0.200000
0.255558,-0.024980,0.200000
0.253615,-0.024854,0.200000
0.251662,-0.024606,0.200000
0.249708,-0.024228,0.200000
0.247763,-0.023715,0.200000
0.245838,-0.023061,0.200000
0.243946,-0.022262,0.200000
0.242101,-0.021314,0.200000
0.240318,-0.020217,0.200000
0.238612,-0.018970,0.200000
0.237001,-0.017576,0.200000
0.235500,-0.016041,0.200000
0.234127,-0.014370,0.200000
0.232898,-0.012574,0.200000
0.231828,-0.010664,0.200000
0.230932,-0.008657,0.200000
0.230221,-0.006567,0.200000
0.229706,-0.004414,0.200000
0.229394,-0.002218,0.200000
0.229289,0.000000,0.200000
0.229394,0.002218,0.200000
0.229706,0.004414,0.200000
0.230221,0.006567,0.200000
0.230932,0.008657,0.200000
0.231828,0.010664,0.200000
0.232898,0.012574,0.200000
0.234127,0.014370,0.200000
0.235500,0.016041,0.200000
0.237001,0.017576,0.200000
0.238612,0.018970,0.200000
0.240318,0.020217,0.200000
0.242101,0.021314,0.200000
0.243946,0.022262,0.200000
0.245838,0.023061,0.200000
0.247763,0.023715,0.200000
0.249708,0.024228,0.200000
0.251662,0.024606,0.200000
0.253615,0.024854,0.200000
0.255558,0.024980,0.200000
0.257483,0.024991,0.200000
0.259385,0.024893,0.200000
0.261258,0.024695,0.200000
0.263098,0.024404,0.200000
0.264901,0.024027,0.200000
0.266667,0.023570,0.200000
0.268392,0.023041,0.200000
0.270076,0.022447,0.200000
0.271718,0.021792,0.200000
0.273319,0.021082,0.200000
0.274879,0.020323,0.200000
0.276399,0.019520,0.200000
0.277880,0.018676,0.200000
0.279324,0.017797,0.200000
0.280731,0.016885,0.200000
0.282105,0.015945,0.200000
0.283446,0.014979,0.200000
0.284757,0.013990,0.200000
0.286039,0.012981,0.200000
0.287295,0.011954,0.200000
0.288527,0.010912,0.200000
0.289737,0.009856,0.200000
0.290927,0.008788,0.200000
0.292099,0.007710,0.200000
0.293257,0.006624,0.200000
0.294401,0.005530,0.200000
0.295534,0.004431,0.200000
0.296658,0.003327,0.200000
0.297776,0.002220,0.200000
0.298889,0.001111,0.200000
0.300000,-0.000000,0.200000
0.301111,-0.001111,0.200000
0.302224,-0.002220,0.200000
0.303342,-0.003327,0.200000
0.304466,-0.004431,0.200000
0.305599,-0.005530,0.200000
0.306743,-0.006624,0.200000
0.307901,-0.007710,0.200000
0.309073,-0.008788,0.200000
0.310263,-0.009856,0.200000
0.311473,-0.010912,0.200000
0.312705,-0.011954,0.200000
0.313961,-0.012981,0.200000
0.315243,-0.013990,0.200000
0.316554,-0.014979,0.200000
0.317895,-0.015945,0.200000
0.319269,-0.016885,0.200000
0.320676,-0.017797,0.200000
0.322120,-0.018676,0.200000
0.323601,-0.019520,0.200000
0.325121,-0.020323,0.200000
0.326681,-0.021082,0.200000
0.328282,-0.021792,0.200000
0.329924,-0.022447,0.200000
0.331608,-0.023041,0.200000
0.333333,-0.023570,0.200000
0.335099,-0.024027,0.200000
0.336902,-0.024404,0.200000
0.338742,-0.024695,0.200000
0.340615,-0.024893,0.200000
0.342517,-0.024991,0.200000
0.344442,-0.024980,0.200000
0.346385,-0.024854,0.200000
0.348338,-0.024606,0.200000
0.350292,-0.024228,0.200000
0.352237,-0.023715,0.200000
0.354162,-0.023061,0.200000
0.356054,-0.022262,0.200000
0.357899,-0.021314,0.200000
0.359682,-0.020217,0.200000
0.361388,-0.018970,0.200000
0.362999,-0.017576,0.200000
0.364500,-0.016041,0.200000
0.365873,-0.014370,0.200000
0.367102,-0.012574,0.200000
0.368172,-0.010664,0.200000
0.369068,-0.008657,0.200000
0.369779,-0.006567,0.200000
0.370294,-0.004414,0.200000
0.370606,-0.002218,0.200000
