q1,q2,q3,q4,q5
0.000000,0.441933,-0.904840,-1.107889,1.570796
0.004790,0.442257,-0.905491,-1.107562,1.570796
0.009554,0.443225,-0.907438,-1.106584,1.570796
0.014269,0.444826,-0.910656,-1.104966,1.570796
0.018909,0.447039,-0.915105,-1.102730,1.570796
0.023451,0.449838,-0.920733,-1.099902,1.570796
0.027873,0.453191,-0.927474,-1.096514,1.570796
0.032155,0.457060,-0.935252,-1.092604,1.570796
0.036278,0.461403,-0.943986,-1.088214,1.570796
0.040224,0.466176,-0.953585,-1.083388,1.570796
0.043979,0.471334,-0.963958,-1.078173,1.570796
0.047528,0.476830,-0.975011,-1.072615,1.570796
0.050861,0.482617,-0.986651,-1.066762,1.570796
0.053969,0.488649,-0.998787,-1.060659,1.570796
0.056845,0.494885,-1.011332,-1.054349,1.570796
0.059483,0.501281,-1.024202,-1.047875,1.570796
0.061880,0.507799,-1.037319,-1.041276,1.570796
0.064036,0.514404,-1.050612,-1.034588,1.570796
0.065949,0.521062,-1.064014,-1.027845,1.570796
0.067622,0.527744,-1.077465,-1.021075,1.570796
0.069056,0.534423,-1.090912,-1.014307,1.570796
0.070257,0.541076,-1.104308,-1.007564,1.570796
0.071229,0.547681,-1.117610,-1.000867,1.570796
0.071978,0.554220,-1.130782,-0.994235,1.570796
0.072510,0.560680,-1.143793,-0.987683,1.570796
0.072833,0.567045,-1.156618,-0.981224,1.570796
0.072954,0.573307,-1.169235,-0.974868,1.570796
0.072881,0.579456,-1.181626,-0.968626,1.570796
0.072622,0.585484,-1.193777,-0.962504,1.570796
0.072184,0.591388,-1.205677,-0.956507,1.570796
0.071578,0.597163,-1.217319,-0.950640,1.570796
0.070809,0.602807,-1.228698,-0.944904,1.570796
0.069888,0.608317,-1.239811,-0.939302,1.570796
0.068821,0.613695,-1.250657,-0.933834,1.570796
0.067617,0.618940,-1.261237,-0.928500,1.570796
0.066284,0.624054,-1.271553,-0.923297,1.570796
0.064827,0.629038,-1.281609,-0.918225,1.570796
0.063255,0.633895,-1.291410,-0.913282,1.570796
0.061575,0.638628,-1.300961,-0.908463,1.570796
0.059793,0.643240,-1.310269,-0.903767,1.570796
